Start date,End date,grid load [MWh] Calculated resolutions,Grid load incl. hydro pumped storage [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions_consumption,Residual load [MWh] Calculated resolutions,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions_generation,Other conventional [MWh] Calculated resolutions,Germany/Luxembourg [€/MWh] Calculated resolutions,∅ DE/LU neighbours [€/MWh] Calculated resolutions,Belgium [€/MWh] Calculated resolutions,Denmark 1 [€/MWh] Calculated resolutions,Denmark 2 [€/MWh] Calculated resolutions,France [€/MWh] Calculated resolutions,Netherlands [€/MWh] Calculated resolutions,Norway 2 [€/MWh] Calculated resolutions,Austria [€/MWh] Calculated resolutions,Poland [€/MWh] Calculated resolutions,Sweden 4 [€/MWh] Calculated resolutions,Switzerland [€/MWh] Calculated resolutions,Czech Republic [€/MWh] Calculated resolutions,DE/AT/LU [€/MWh] Calculated resolutions,Northern Italy [€/MWh] Calculated resolutions,Slovenia [€/MWh] Calculated resolutions,Hungary [€/MWh] Calculated resolutions,renewable_mwh,conventional_mwh,year,price_eur_mwh,price_diff,is_spike,total_renewables
2019-01-01,2019-01-02,1097118.75,1150739.75,53621.0,277981.25,112992.5,35547.25,54910.5,754514.0,9713.0,3145.5,,121568.75,62157.25,68598.0,16199.25,39042.0,-4.3,,61.63,-3.93,-3.93,41.24,52.96,48.74,15.07,,22.58,43.05,11.55,,43.96,36.55,46.03,970822.75,307565.25,2019,-4.3,,False,970822.75
2019-01-02,2019-01-03,1388494.25,1424715.5,36221.25,669048.5,113444.0,33866.25,76078.25,613359.75,30007.75,3096.0,,219818.25,132438.25,108567.0,18694.0,39226.75,25.92,,58.44,27.23,27.23,54.27,55.67,50.98,35.5,,42.65,58.19,38.05,,58.86,52.98,50.74,869852.0,518744.25,2019,25.92,30.220000000000002,False,869852.0
2019-01-03,2019-01-04,1466308.25,1490488.0,24179.75,1150431.75,114457.5,34020.25,63945.75,229928.25,22002.5,3140.25,,337891.25,289076.0,197938.75,32604.75,40233.0,57.72,,61.99,56.61,56.67,61.25,62.42,57.06,59.35,,57.11,62.31,59.02,,61.43,61.43,73.77,467494.5,897743.75,2019,57.72,31.799999999999997,False,467494.5
2019-01-04,2019-01-05,1486876.25,1512694.0,25817.75,948617.25,115086.0,34982.75,88136.5,440768.75,9353.75,3069.25,,357775.25,199299.25,167920.0,20644.0,40789.75,49.91,,68.07,49.57,49.79,64.93,63.3,51.08,53.95,,51.07,63.26,53.26,,66.3,66.3,79.44,691397.0,786428.25,2019,49.91,-7.810000000000002,False,691397.0
2019-01-05,2019-01-06,1315755.0,1363757.75,48002.75,700158.25,114735.5,33818.5,88862.0,520153.25,6581.5,3120.5,,312910.0,130985.5,131458.5,15863.75,40477.25,42.18,,62.64,43.59,44.02,62.66,57.35,50.72,52.53,,51.1,60.18,43.48,,67.43,63.44,60.39,767271.25,631695.0,2019,42.18,-7.729999999999997,False,767271.25
2019-01-06,2019-01-07,1207037.75,1236508.75,29471.0,942618.0,114317.5,34206.25,64607.75,188282.5,11529.5,3131.25,,366325.5,205744.75,155988.75,21144.25,41381.25,54.55,,55.37,51.12,52.06,55.61,54.71,51.17,54.92,,51.97,59.06,52.08,,57.9,55.67,58.0,416074.75,790584.5,2019,54.55,12.369999999999997,False,416074.75
2019-01-07,2019-01-08,1525289.0,1557899.5,32610.5,1074073.25,114142.75,38885.75,70655.0,370451.25,10109.5,3134.25,,352249.25,262462.5,191267.5,37784.25,39138.25,51.81,,58.28,48.16,53.7,62.78,57.38,52.02,61.48,,56.21,64.23,61.68,,69.1,66.08,65.77,607378.5,882901.75,2019,51.81,-2.739999999999995,False,607378.5
2019-01-08,2019-01-09,1605658.75,1651766.5,46107.75,627897.5,112531.5,37517.75,88442.75,876358.25,12960.25,3316.25,,213969.0,104702.75,126231.0,19453.5,39777.5,34.5,,52.22,34.5,34.5,57.8,50.25,49.63,53.37,,49.5,59.18,56.29,,75.67,69.01,77.13,1131126.75,504133.75,2019,34.5,-17.310000000000002,False,1131126.75
2019-01-09,2019-01-10,1625614.0,1657539.25,31925.25,834090.75,113196.25,36859.5,108285.0,670693.0,12545.25,3315.25,,272120.5,181274.0,156652.0,21548.0,40186.25,40.0,,54.82,40.18,40.18,57.76,53.69,50.47,56.57,,50.07,61.58,57.36,,70.35,75.43,75.78,944894.25,671780.75,2019,40.0,5.5,False,944894.25
2019-01-10,2019-01-11,1583216.0,1612677.75,29461.75,1388271.5,115184.75,45808.0,23505.0,160756.75,10682.75,4187.5,,342333.5,355936.25,245905.75,43601.25,44576.5,67.67,,68.35,59.59,67.92,69.23,67.96,59.59,68.92,,64.64,68.14,67.56,,71.47,70.19,89.78,360124.75,1032353.25,2019,67.67,27.67,False,360124.75
2019-01-11,2019-01-12,1609084.0,1640853.0,31769.0,1110361.25,115867.0,38592.0,102615.75,390953.5,5153.5,5024.5,,344894.5,285271.5,215405.0,25882.5,42841.0,49.92,,59.8,48.9,50.47,65.34,52.71,49.88,56.77,,49.49,65.6,58.15,,68.5,66.3,76.1,658206.25,914294.5,2019,49.92,-17.75,False,658206.25
2019-01-12,2019-01-13,1371654.25,1402942.25,31288.0,641783.25,115806.5,34360.0,106132.25,616996.0,6742.75,5068.0,,260743.75,119866.75,127826.5,18268.25,41405.25,40.8,,55.75,48.24,48.24,53.54,51.0,49.62,44.63,,48.24,58.13,47.39,,65.33,67.08,69.42,885105.5,568110.5,2019,40.8,-9.120000000000005,False,885105.5
2019-01-13,2019-01-14,1280320.5,1317869.25,37548.75,371505.75,113867.5,36143.0,108163.25,794761.75,5889.75,4169.0,,131513.25,60603.0,79957.25,9367.0,37633.25,15.1,,44.01,32.77,38.62,46.28,46.48,49.31,40.49,,47.95,49.35,39.4,,65.68,60.13,66.58,1062994.25,319073.75,2019,15.1,-25.699999999999996,False,1062994.25
2019-01-14,2019-01-15,1566660.25,1597398.75,30738.5,701196.75,113232.5,44538.25,102841.25,738158.0,24464.25,4891.5,,196417.0,140757.75,144775.5,30306.0,38574.5,32.61,,56.07,32.61,34.86,56.65,54.95,49.76,38.35,,43.9,59.01,47.7,,64.96,82.9,86.86,1028125.75,550830.75,2019,32.61,17.509999999999998,False,1028125.75
2019-01-15,2019-01-16,1607072.25,1646958.25,39886.0,763000.0,112969.25,42202.0,84224.75,745239.0,14608.5,4914.0,,253638.5,179439.75,163415.75,27236.0,38843.25,45.45,,55.8,50.13,50.34,60.94,51.21,51.88,49.64,,50.34,63.64,49.66,,71.49,73.62,97.63,1004157.5,662573.25,2019,45.45,12.840000000000003,False,1004157.5
2019-01-16,2019-01-17,1607242.0,1648165.5,40923.5,846419.0,114047.75,37982.0,107190.5,623314.5,30318.0,4924.5,,292088.5,163175.25,176604.0,27835.5,38422.5,45.2,,53.84,51.67,52.15,62.7,51.08,52.08,49.97,,52.15,62.51,47.8,,72.41,83.31,88.76,917777.25,698125.75,2019,45.2,-0.25,False,917777.25
2019-01-17,2019-01-18,1624894.0,1663749.25,38855.25,857060.5,113801.25,36388.25,116248.5,631984.75,19600.25,5039.25,,317569.25,186963.0,161749.25,14797.5,37965.5,42.84,,56.56,50.49,50.49,61.56,56.24,52.96,51.19,,52.25,63.26,47.72,,69.0,73.29,91.21,923062.25,719044.5,2019,42.84,-2.3599999999999994,False,923062.25
2019-01-18,2019-01-19,1561664.0,1578606.25,16942.25,1260207.25,113704.0,42608.5,31197.75,223717.0,46542.0,5064.25,,379765.0,343595.75,225217.75,37576.25,36459.5,61.73,,64.91,61.17,61.79,66.68,63.45,61.17,63.4,,61.76,67.02,63.45,,70.77,83.84,80.2,462833.5,1022614.25,2019,61.73,18.889999999999993,False,462833.5
2019-01-19,2019-01-20,1362419.0,1400388.0,37969.0,1164215.0,115513.5,38723.0,28177.75,107671.75,62354.5,5036.5,,367197.5,348600.5,180884.25,12124.75,37072.5,55.39,,59.49,54.98,55.29,63.87,58.71,55.1,62.75,,55.27,62.82,57.2,,67.37,66.79,78.14,357477.0,945879.5,2019,55.39,-6.339999999999996,False,357477.0
2019-01-20,2019-01-21,1279862.75,1301524.75,21662.0,1164890.25,115638.0,36720.0,9805.75,52524.75,52642.0,4882.0,,364172.25,340575.5,185884.0,15539.75,36058.75,53.89,,58.2,55.05,55.09,61.54,57.19,55.35,61.04,,55.05,60.61,56.37,,65.28,64.68,62.07,272212.5,942230.25,2019,53.89,-1.5,False,272212.5
2019-01-21,2019-01-22,1600868.75,1621173.75,20305.0,1416758.0,115773.0,44389.5,39419.0,93806.75,50885.0,4666.25,,390236.0,384985.75,262253.0,42493.5,36712.5,69.9,,70.15,68.24,68.84,71.51,69.46,68.24,70.26,,68.84,72.77,73.34,,72.69,78.7,86.43,348939.5,1116680.75,2019,69.9,16.010000000000005,False,348939.5
2019-01-22,2019-01-23,1655450.75,1689730.5,34279.75,1326498.0,116649.25,46014.25,97374.5,195383.25,36195.0,4826.25,,389867.5,373621.5,252593.25,27358.0,39319.75,63.0,,73.68,62.63,62.93,72.32,65.86,62.57,66.07,,62.93,68.73,65.52,,73.49,89.16,84.87,496442.5,1082760.0,2019,63.0,-6.900000000000006,False,496442.5
2019-01-23,2019-01-24,1649947.5,1682897.25,32949.75,1456024.5,116850.75,49203.0,32907.75,134834.25,26181.0,5006.75,,389862.75,375360.5,284159.0,45823.25,40960.0,75.08,,76.66,67.93,69.52,76.07,74.0,67.71,75.32,,69.52,71.83,73.75,,78.36,91.94,91.46,364983.5,1136165.5,2019,75.08,12.079999999999998,False,364983.5
2019-01-24,2019-01-25,1634421.25,1676600.5,42179.25,1568968.25,114769.0,48897.0,15640.25,35904.75,13908.0,5015.75,,388795.25,365623.5,298413.25,41749.75,45397.25,85.8,,86.05,79.12,79.45,85.94,85.28,78.13,85.84,,79.45,82.83,83.72,,85.57,86.93,84.7,234134.75,1139979.0,2019,85.8,10.719999999999999,False,234134.75
2019-01-25,2019-01-26,1624279.0,1659982.5,35703.5,1425908.0,116287.5,42989.0,56852.5,125936.5,15582.0,5048.0,,384305.0,340529.0,270844.0,34231.5,40243.75,66.5,,67.5,65.06,66.54,69.53,65.81,64.44,67.45,,66.54,72.08,69.86,,70.29,70.31,72.46,362695.5,1070153.25,2019,66.5,-19.299999999999997,False,362695.5
2019-01-26,2019-01-27,1414847.5,1449516.5,34669.0,901463.5,115664.25,35025.25,68699.5,433620.0,11064.5,5101.5,,346540.75,195756.25,148694.25,18539.0,38716.0,49.09,,52.56,52.72,54.07,54.39,50.36,53.92,51.99,,54.07,55.86,51.6,,61.27,58.7,64.48,669175.0,748246.25,2019,49.09,-17.409999999999997,False,669175.0
