Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2019;Jan 2, 2019;1,097,118.75;1,150,739.75;53,621.00;277,981.25
Jan 2, 2019;Jan 3, 2019;1,388,494.25;1,424,715.50;36,221.25;669,048.50
Jan 3, 2019;Jan 4, 2019;1,466,308.25;1,490,488.00;24,179.75;1,150,431.75
Jan 4, 2019;Jan 5, 2019;1,486,876.25;1,512,694.00;25,817.75;948,617.25
Jan 5, 2019;Jan 6, 2019;1,315,755.00;1,363,757.75;48,002.75;700,158.25
Jan 6, 2019;Jan 7, 2019;1,207,037.75;1,236,508.75;29,471.00;942,618.00
Jan 7, 2019;Jan 8, 2019;1,525,289.00;1,557,899.50;32,610.50;1,074,073.25
Jan 8, 2019;Jan 9, 2019;1,605,658.75;1,651,766.50;46,107.75;627,897.50
Jan 9, 2019;Jan 10, 2019;1,625,614.00;1,657,539.25;31,925.25;834,090.75
Jan 10, 2019;Jan 11, 2019;1,583,216.00;1,612,677.75;29,461.75;1,388,271.50
Jan 11, 2019;Jan 12, 2019;1,609,084.00;1,640,853.00;31,769.00;1,110,361.25
Jan 12, 2019;Jan 13, 2019;1,371,654.25;1,402,942.25;31,288.00;641,783.25
Jan 13, 2019;Jan 14, 2019;1,280,320.50;1,317,869.25;37,548.75;371,505.75
Jan 14, 2019;Jan 15, 2019;1,566,660.25;1,597,398.75;30,738.50;701,196.75
Jan 15, 2019;Jan 16, 2019;1,607,072.25;1,646,958.25;39,886.00;763,000.00
Jan 16, 2019;Jan 17, 2019;1,607,242.00;1,648,165.50;40,923.50;846,419.00
Jan 17, 2019;Jan 18, 2019;1,624,894.00;1,663,749.25;38,855.25;857,060.50
Jan 18, 2019;Jan 19, 2019;1,561,664.00;1,578,606.25;16,942.25;1,260,207.25
Jan 19, 2019;Jan 20, 2019;1,362,419.00;1,400,388.00;37,969.00;1,164,215.00
Jan 20, 2019;Jan 21, 2019;1,279,862.75;1,301,524.75;21,662.00;1,164,890.25
Jan 21, 2019;Jan 22, 2019;1,600,868.75;1,621,173.75;20,305.00;1,416,758.00
Jan 22, 2019;Jan 23, 2019;1,655,450.75;1,689,730.50;34,279.75;1,326,498.00
Jan 23, 2019;Jan 24, 2019;1,649,947.50;1,682,897.25;32,949.75;1,456,024.50
Jan 24, 2019;Jan 25, 2019;1,634,421.25;1,676,600.50;42,179.25;1,568,968.25
Jan 25, 2019;Jan 26, 2019;1,624,279.00;1,659,982.50;35,703.50;1,425,908.00
Jan 26, 2019;Jan 27, 2019;1,414,847.50;1,449,516.50;34,669.00;901,463.50
Jan 27, 2019;Jan 28, 2019;1,274,026.00;1,329,554.75;55,528.75;660,304.25
Jan 28, 2019;Jan 29, 2019;1,586,613.75;1,611,974.75;25,361.00;1,067,981.25
Jan 29, 2019;Jan 30, 2019;1,603,332.50;1,633,496.25;30,163.75;1,219,274.25
Jan 30, 2019;Jan 31, 2019;1,622,324.00;1,662,866.50;40,542.50;1,139,282.25
Jan 31, 2019;Feb 1, 2019;1,599,507.25;1,628,964.25;29,457.00;1,298,051.50
Feb 1, 2019;Feb 2, 2019;1,599,759.50;1,635,012.00;35,252.50;1,222,683.75
Feb 2, 2019;Feb 3, 2019;1,368,301.75;1,389,677.75;21,376.00;1,234,196.75
Feb 3, 2019;Feb 4, 2019;1,285,850.25;1,322,970.00;37,119.75;978,430.00
Feb 4, 2019;Feb 5, 2019;1,583,685.50;1,613,331.00;29,645.50;1,045,350.50
Feb 5, 2019;Feb 6, 2019;1,619,422.75;1,648,896.75;29,474.00;1,221,195.50
Feb 6, 2019;Feb 7, 2019;1,614,883.25;1,640,831.00;25,947.75;1,191,735.75
Feb 7, 2019;Feb 8, 2019;1,624,802.00;1,651,801.00;26,999.00;994,711.00
Feb 8, 2019;Feb 9, 2019;1,586,558.25;1,621,984.75;35,426.50;754,443.75
Feb 9, 2019;Feb 10, 2019;1,368,687.75;1,425,807.00;57,119.25;381,436.00
